name,category,latitude,longitude
Aotizhongxin,Central,39.98358335836226,116.4026179618878
Guanyuan,Central,39.954536221470946,116.38195292591017
Gucheng,Central,39.914917946538054,116.19019989786065
Wanliu,Central,39.96239353737368,116.29392008131254
Dongsi,Central,39.93033878885367,116.42128857754851
Nongzhanguan,Central,39.93789845827924,116.46908418161172
Wanshouxigong,Central,39.879832976142524,116.36824143831248
Tiantan,Central,39.88772509095933,116.41362313001132
Changping,North-West,40.218217191594185,116.23585129248588
Dingling,North-West,40.29266582547603,116.22609731092811
Shunyi,North-East,40.136156204404784,116.6696531738055
Huairou,North-East,40.306412796526885,116.62110272976561
